代碼,名稱,收盤,漲幅%,RSI,K,量比,收盤位置%,策略數,策略
3293,鈊象,775.0,2.65,63.3,58.3,0.64,100.0,2,🔥MACD雙共振 | 📊均線多頭排列
7734,印能科技,2325.0,-1.06,74.2,84.6,0.58,26.2,2,🔥MACD雙共振 | 📊均線多頭排列
2885,元大金,46.5,1.42,61.2,73.4,0.57,87.5,2,🔥MACD雙共振 | 📊均線多頭排列
6151,晉倫,32.7,0.0,66.0,62.7,0.41,36.8,2,🔥MACD雙共振 | 📊均線多頭排列
4971,IET-KY,602.0,6.74,65.1,78.8,0.15,75.0,2,🔥MACD雙共振 | 📊均線多頭排列
2426,鼎元,35.55,-7.18,51.7,51.8,3.77,13.8,1,📊均線多頭排列
6168,宏齊,26.1,0.38,62.1,58.5,2.62,27.0,1,🔥MACD雙共振
4956,光鋐,35.8,8.65,59.2,53.1,2.51,84.6,1,💥量增價漲
8034,榮群,25.6,9.87,55.1,41.4,2.44,100.0,1,📈KD低檔金叉
6715,嘉基,343.0,9.94,55.6,59.4,2.39,100.0,1,📊均線多頭排列
3714,富采,49.65,-8.39,55.0,65.8,2.28,5.6,1,📊均線多頭排列
8927,北基,25.2,6.33,70.3,57.5,2.22,94.7,1,💥量增價漲
3591,艾笛森,21.45,0.7,57.3,61.2,2.21,35.7,1,🔥MACD雙共振
5425,台半,58.6,9.94,47.3,29.8,2.06,100.0,1,📈KD低檔金叉
8086,宏捷科,138.0,9.96,54.1,49.4,1.9,100.0,1,📈KD低檔金叉
3490,單井,26.8,2.68,63.6,53.8,1.75,79.3,1,🔥MACD雙共振
2303,聯電,58.3,8.77,44.4,33.7,1.72,85.7,1,📈KD低檔金叉
1560,中砂,474.0,7.0,54.8,43.7,1.7,85.5,1,📈KD低檔金叉
3689,湧德,124.0,9.73,63.6,56.1,1.69,100.0,1,🔥MACD雙共振
8155,博智,278.0,9.88,66.6,66.1,1.69,100.0,1,🔥MACD雙共振
6435,大中,162.5,6.56,45.0,36.9,1.62,81.0,1,📈KD低檔金叉
3526,凡甲,291.0,4.11,55.5,39.1,1.57,72.4,1,📈KD低檔金叉
3141,晶宏,43.0,4.37,44.6,18.7,1.55,92.6,1,📈KD低檔金叉
1210,大成,54.9,0.37,65.0,77.7,1.45,15.4,1,📊均線多頭排列
8150,南茂,57.0,0.53,38.6,24.3,1.45,19.4,1,📈KD低檔金叉
6763,綠界科技*,47.55,1.39,36.1,20.7,1.43,18.3,1,📈KD低檔金叉
4909,新復興,57.3,3.43,38.1,19.5,1.32,57.1,1,📈KD低檔金叉
3693,營邦,498.0,4.73,51.1,37.9,1.3,45.5,1,📊均線多頭排列
8085,福華,15.6,3.65,34.7,15.2,1.25,58.8,1,📈KD低檔金叉
6789,采鈺,334.0,5.03,48.5,34.4,1.24,55.6,1,📈KD低檔金叉
3466,德晉,34.6,2.06,35.6,30.5,1.23,36.4,1,📈KD低檔金叉
