代號,收盤,RSI,跌幅(高點),20日報酬,季線,成交量(張)
8930,14.2,37.5,25.0%,-13.9%,16.4,1235
8937,14.2,37.5,25.0%,-13.9%,16.4,1235
8938,14.2,37.5,25.0%,-13.9%,16.4,1235
8933,14.2,37.5,25.0%,-13.9%,16.4,1235
8941,14.2,37.5,25.0%,-13.9%,16.4,1235
8935,14.2,37.5,25.0%,-13.9%,16.4,1235
8932,14.2,37.5,25.0%,-13.9%,16.4,1235
3224,57.0,40.0,20.4%,-9.2%,63.3,1437
