code,close,ma5,ma10,ma20,macd,hist,macd_golden,macd_bull,hist_pos,hist_expand,K,D,kd_golden,RSI,ATR14,vol_ratio,support,resist,bb_pos,ma_bull,close_pos,upper_shadow,is_limit_up,k_pattern,score,notes
2834,16.9,16.05,15.69,15.37,0.241,0.185,False,True,True,True,91.2,85.1,False,95.1,0.26,2.71,14.8,16.95,124.3,True,91.7,8.3,False,強勢收盤,25,"MACD多頭+3, 紅柱+2, 柱擴張+1, K>D+2, ⚠️RSI超買, 大量2.7x+2, 均線多頭排列+2, ⚠️近布林上軌(124%), 外資+38,503張+3, 投信+1張+3, 三大法人合計+38,511張+2, 營收YoY+5%+1, 營收MoM+23%+2, 強勢收盤(92%)+2"
3231,140.5,136.1,133.7,130.18,1.677,1.349,False,True,True,True,82.9,73.9,False,68.0,4.29,2.3,122.5,141.0,102.0,True,90.9,9.1,False,強勢收盤,24,"MACD多頭+3, 紅柱+2, 柱擴張+1, K>D+2, RSI健康+2, 大量2.3x+2, 均線多頭排列+2, ⚠️近布林上軌(102%), 外資+31,159張+3, 投信+827張+3, 三大法人合計+33,082張+2, 強勢收盤(91%)+2"
2464,86.9,77.74,72.92,71.99,1.963,1.535,False,True,True,True,79.9,61.6,False,73.0,3.92,4.17,65.7,86.9,126.3,True,100.0,0.0,True,強勢收盤,20,"MACD多頭+3, 紅柱+2, 柱擴張+1, K>D+2, ⚠️RSI超買, 爆量4.2x+3, 均線多頭排列+2, ⚠️近布林上軌(126%), 外資+5,799張+3, 三大法人合計+6,080張+2, 營收YoY+8%+1, 漲停(4.2x)+1"
1605,33.65,32.53,31.95,31.36,-0.186,0.42,False,True,True,True,68.1,60.5,False,69.9,1.27,2.93,29.85,34.8,108.7,True,63.5,36.5,False,長下影線,18,"MACD多頭+3, 紅柱+2, 柱擴張+1, K>D+2, RSI健康+2, 大量2.9x+2, 均線多頭排列+2, ⚠️近布林上軌(109%), 當沖比42%, 營收YoY+2%+1, 營收MoM+32%+2, 收盤偏強(64%)+1"
2303,76.9,68.0,64.07,60.56,2.634,2.027,False,True,True,True,86.4,79.4,False,77.7,3.85,2.65,52.8,80.2,120.7,True,15.4,84.6,False,弱勢收盤,14,"MACD多頭+3, 紅柱+2, 柱擴張+1, K>D+2, ⚠️RSI超買, 大量2.6x+2, 均線多頭排列+2, ⚠️近布林上軌(121%), 外資+49,302張+3, ⚠️投信-10張, 三大法人合計+52,636張+2, ⚠️弱勢收盤(15%)−2, ⚠️長上影線(85%)−1"
4977,241.5,215.0,203.55,196.28,13.983,3.818,False,True,True,True,78.5,65.6,False,66.3,15.25,2.54,175.0,254.5,116.0,True,49.0,51.0,False,中性,14,"MACD多頭+3, 紅柱+2, 柱擴張+1, K>D+2, RSI健康+2, 大量2.5x+2, 均線多頭排列+2, ⚠️近布林上軌(116%), ⚠️當沖比63%(投機偏高), ⚠️營收YoY-19%"
